EventType: Volunteer| EventName: Charity 5k OrgName: RunForCharity| Location: Roselle, IL| Desc: Volunteers needed to check in and provide assistance in charity 5k run| ContactInfo: johnsmith@email.com| URL: runforcharity.org| AttendeesNeeded: 10| EventDate: 06/22/2020| EventStartTime: 1:30pm| EventEndTime: 3:30pm| State: IL
EventType: Volunteer| EventName: Elementary School Fun Fair| OrgName: Real Elementary School| Location: Oregon, US| Desc: Help run games at an elementary school fun fair| ContactInfo: schoolprincipal@email.com| URL: realelementaryschool.com| AttendeesNeeded: 20| EventDate: 06/25/2020| EventStartTime: 4:30pm| EventEndTime: 7:30pm| State: OR
EventType: Food Drive| EventName: Carbondale Food Drive| OrgName: Carbondale Food Services| Location: Carbondale, IL| Desc: Non-perishables and canned food appreciated| ContactInfo: carbondalefoodservices@email.com| URL: carbondalefood.net| AttendeesNeeded: 5| EventDate: 07/25/2020| EventStartTime: 1:30pm| EventEndTime: 4:30pm| State: IL
EventType: Food Drive| EventName: Food Drive for Schaumburg| OrgName: Schaumburg Food| Location: Schaumburg, IL| Desc: Please provide canned foods| ContactInfo: schaumburgfooddrives@email.com| URL: schaumburgfooddrives.com| AttendeesNeeded: 8| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: IL
EventType: Protest| EventName: Black Lives Movement March| OrgName: BLM| Location: Milwaukee, MN| Desc: Join many others in a march to support the Black Lives Matter movement| ContactInfo: blmleader@email.com| URL: blm.org| AttendeesNeeded: 40| EventDate: 06/23/2020| EventStartTime: 1:30pm| EventEndTime: 5:00pm| State: MN
EventType: Blood Drive| EventName: University of Michigan Blood Drive| OrgName: UMich| Location: Ann Arbor, MI| Desc: Provide blood if possible, located on the University of Michigan Campus| ContactInfo: janedoe@email.com| URL: umichblooddrive.org| AttendeesNeeded: 7| EventDate: 08/12/2020| EventStartTime: 12:30pm| EventEndTime: 3:00pm| State: MI
EventType: Clothing Drive| EventName: Detroit Clothing Drive| OrgName: Detroit Clothing Drive| Location: Detroit, MI| Desc: Provide clean clothing with minimal wear| ContactInfo: johndoe@email.com| URL: detroitclothingdrive.org| AttendeesNeeded: 10| EventDate: 10/12/2020| EventStartTime: 12:30pm| EventEndTime: 3:00pm| State: MI
EventType: Food Drive| EventName: Food Drive for Schaumburg| OrgName: Schaumburg Food| Location: Dallas, TX| Desc: Please provide canned foods| ContactInfo: schaumburgfooddrives@email.com| URL: schaumburgfooddrives.com| AttendeesNeeded: 8| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: TX
EventType: Protest| EventName: Indiana Protest| OrgName: INP| Location: Gary, IN| Desc: Protest in Indiana| ContactInfo: indianaprotests@email.com| URL: inp.net| AttendeesNeeded: 20| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: IN
EventType: Food Drive| EventName: Food Drive for Minneapolis| OrgName: Minneapolis Food| Location: Minneapolis, MN| Desc: Please provide canned foods| ContactInfo: minneapolisfooddrives@email.com| URL: minneapolisfooddrives.com| AttendeesNeeded: 8| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: MN
EventType: Clothing Drive| EventName: Clothing Drive for Indianapolis| OrgName: Indianapolis Drives| Location: Indianapolis, IN| Desc: Please provide clothing| ContactInfo: indianapolisclothingdrives@email.com| URL: indianaclothingdrives.com| AttendeesNeeded: 20| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: IN
EventType: Food Drive| EventName: Food Drive for Columbus| OrgName: Columbus Food| Location: Columbus, OH| Desc: Please provide canned foods| ContactInfo: columbusfooddrives@email.com| URL: columbusfooddrives.com| AttendeesNeeded: 10| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: OH
EventType: Volunteer| EventName: Cleveland Charity Run| OrgName: Cleveland Runs| Location: Cleveland, OH| Desc: Check in and provide water at cleveland charity run| ContactInfo: clevelandruns@email.com| URL: clevelandcharityruns.org| AttendeesNeeded: 12| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: OH
EventType: Blood Drive| EventName: Des Moines Blood Drive| OrgName: DMBD| Location: Des Moines, IA| Desc: Blood donations| ContactInfo: dmbd@email.com| URL: desmoinesblooddrives.com| AttendeesNeeded: 10| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: IA
EventType: Volunteer| EventName: Taste of Waterloo| OrgName: Waterloo Public Events| Location: Waterloo, IA| Desc: Volunteers needed to run stands and provide information| ContactInfo: tasteofwaterloo@email.com| URL: tasteofwaterloo.com| AttendeesNeeded: 25| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: IA
EventType: Protest| EventName: Columbia Protest| OrgName: CProtests| Location: Columbia, MO| Desc: Protest in Columbia| ContactInfo: cprotests@email.com| URL: columbiaprotests.net| AttendeesNeeded: 30| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: MO
EventType: Clothing Drive| EventName: Clothing Drive for JC| OrgName: Missouri Drives| Location: Jefferson City, MO| Desc: Please provide clothing| ContactInfo: missouriclothingdrives@email.com| URL: missouriclothingdrives.com| AttendeesNeeded: 20| EventDate: 06/30/2020| EventStartTime: 1:30pm| EventEndTime: 5:30pm| State: MO
